Time (UTCG),Lat (deg),Lon (deg),Alt (km),RSheath (Ohm),FRC (Hz),GDC,GAC,V_I0 (volt)
Jan 01 2015 00:02:22.000000000,-84.44621763,112.01096409999998,2992.170038,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:23.000000000,-84.47656616,112.2083412,2992.055271,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:24.000000000,-84.50684673,112.4079408,2991.939668,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:25.000000000,-84.53705821,112.609795,2991.823229,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:26.000000000,-84.56719943,112.8139361,2991.705953,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:27.000000000,-84.59726921,113.020397,2991.587842000001,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:28.000000000,-84.62726633,113.2292112,2991.468894,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:29.000000000,-84.65718956,113.4404124,2991.349111,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:30.000000000,-84.68703763,113.654035,2991.228491,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:31.000000000,-84.71680926,113.870114,2991.107036,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:32.000000000,-84.74650314,114.0886847,2990.984744000001,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:33.000000000,-84.77611792,114.3097831,2990.861617,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:34.000000000,-84.80565224,114.5334455,2990.737653,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:35.000000000,-84.8351047,114.7597088,2990.612854,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:36.000000000,-84.86447389,114.9886105,2990.487219,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:37.000000000,-84.89375835,115.2201885,2990.360748,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:38.000000000,-84.9229566,115.4544814,2990.233441,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:39.000000000,-84.95206712,115.6915281,2990.105298,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:40.000000000,-84.98108838,115.931368,2989.97632,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:41.000000000,-85.01001881,116.1740414,2989.846506,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:42.000000000,-85.03885679,116.4195886,2989.715856,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:43.000000000,-85.06760069,116.6680509,2989.58437,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:44.000000000,-85.09624884,116.9194697,2989.452049,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:45.000000000,-85.12479954,117.1738872,2989.318892,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:46.000000000,-85.15325104,117.431346,2989.184899,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:47.000000000,-85.18160157,117.6918892,2989.050071,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:48.000000000,-85.20984931,117.9555605,2988.914407,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:49.000000000,-85.23799244,118.22240390000002,2988.777908,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:50.000000000,-85.26602904,118.49246409999998,2988.640573,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:51.000000000,-85.29395722,118.7657862,2988.502403,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:52.000000000,-85.321775,119.0424157,2988.363398,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:53.000000000,-85.34948038,119.3223987,2988.2235570000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:54.000000000,-85.37707132,119.6057817,2988.08288,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:55.000000000,-85.40454575,119.8926115,2987.941368,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:56.000000000,-85.43190154,120.1829355,2987.7990210000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:57.000000000,-85.45913652,120.4768015,2987.655838,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:58.000000000,-85.48624849,120.77425759999998,2987.511821,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:02:59.000000000,-85.51323519,121.0753524,2987.366968,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:00.000000000,-85.54009434,121.3801348,2987.221279,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:01.000000000,-85.56682358,121.688654,2987.074756,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:02.000000000,-85.59342054,122.0009595,2986.927397,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:03.000000000,-85.61988277,122.3171012,2986.779204,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:04.000000000,-85.64620781,122.63712920000002,2986.630175,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:05.000000000,-85.67239312,122.9610938,2986.480311,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:06.000000000,-85.69843613,123.2890456,2986.329612,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:07.000000000,-85.72433421,123.6210353,2986.178078,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:08.000000000,-85.75008469,123.9571136,2986.025709,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:09.000000000,-85.77568485,124.2973317,2985.8725050000007,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:10.000000000,-85.80113191,124.6417404,2985.718466,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:11.000000000,-85.82642304,124.9903908,2985.563593,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:12.000000000,-85.85155537,125.34333390000002,2985.407884,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:13.000000000,-85.87652597,125.7006206,2985.251341,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:14.000000000,-85.90133185,126.0623017,2985.093963,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:15.000000000,-85.92596997,126.4284278,2984.93575,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:16.000000000,-85.95043726,126.7990493,2984.776702,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:17.000000000,-85.97473055,127.1742162,2984.61682,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:18.000000000,-85.99884667,127.55397820000002,2984.456103,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:19.000000000,-86.02278235,127.9383846,2984.294551,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:20.000000000,-86.04653429,128.3274841,2984.132165,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:21.000000000,-86.07009912,128.7213251,2983.968945,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:22.000000000,-86.09347344,129.1199549,2983.804889,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:23.000000000,-86.11665376,129.52342040000002,2983.64,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:24.000000000,-86.13963657,129.93176770000002,2983.474275,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:25.000000000,-86.16241829,130.34504170000002,2983.307717,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:26.000000000,-86.18499527,130.7632866,2983.140324,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:27.000000000,-86.20736384,131.18654540000003,2982.972097,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:28.000000000,-86.22952024,131.6148598,2982.803035000001,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:29.000000000,-86.25146069,132.0482704,2982.633139,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:30.000000000,-86.27318133,132.4868161,2982.462409,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:31.000000000,-86.29467828,132.9305347,2982.290845,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:32.000000000,-86.31594756,133.37946200000002,2982.118446,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:33.000000000,-86.33698519,133.83363229999998,2981.945214,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:34.000000000,-86.35778712,134.29307769999997,2981.771147,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:35.000000000,-86.37834925,134.7578285,2981.596246,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:36.000000000,-86.39866743,135.2279131,2981.420511,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:37.000000000,-86.41873747,135.7033571,2981.243943,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:38.000000000,-86.43855515,136.1841841,2981.06654,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:39.000000000,-86.45811618,136.6704151,2980.888303,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:40.000000000,-86.47741626,137.16206830000002,2980.709233,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:41.000000000,-86.49645104,137.65915900000002,2980.529328,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:42.000000000,-86.51521612,138.1616998,2980.34859,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:43.000000000,-86.53370708,138.6697,2980.167018,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:44.000000000,-86.55191949,139.1831655,2979.984613,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:45.000000000,-86.56984885,139.702099,2979.801374,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:46.000000000,-86.58749067,140.2264994,2979.617301,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:47.000000000,-86.60484042,140.75636219999996,2979.432394,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:48.000000000,-86.62189356,141.29167869999995,2979.246654,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:49.000000000,-86.63864553,141.8324363,2979.06008,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:50.000000000,-86.65509176,142.37861809999995,2978.872673,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:51.000000000,-86.67122769,142.9302031,2978.684433,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:52.000000000,-86.68704872,143.4871656,2978.495359,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:53.000000000,-86.70255029,144.0494755,2978.305452,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:54.000000000,-86.71772782,144.6170976,2978.114711,0.0,0.0,0.0,0.0,0.0
Jan 01 2015 00:03:55.000000000,-86.73257674,145.18999230000003,2977.923137,0.0,0.0,0.0,0.0,0.0
