Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),B_Tesla,Bx_Tesla,By_Tesla,Bz_Tesla
Jan 01 2015 01:02:35.000000000,81.18406952,44.84964639,183.69855890000002,5.209546790099918e-05,2.1973528738110793e-06,4.3590846389020205e-06,-5.18662491152279e-05
Jan 01 2015 01:02:36.000000000,81.11489734,45.00690034,184.1017908,5.208889576371923e-05,2.209407744415876e-06,4.374505692224228e-06,-5.185783720182726e-05
Jan 01 2015 01:02:37.000000000,81.0456651,45.16165982,184.5065644,5.2082300582228053e-05,2.2213284239360126e-06,4.3900325362250894e-06,-5.184939101186678e-05
Jan 01 2015 01:02:38.000000000,80.97637443,45.31398027,184.9128791,5.207568188865861e-05,2.2331172268290905e-06,4.405664582422523e-06,-5.1840910015230175e-05
Jan 01 2015 01:02:39.000000000,80.9070269,45.46391555,185.32073390000002,5.2069039222478515e-05,2.2447763982654405e-06,4.421401250525834e-06,-5.1832393688268395e-05
Jan 01 2015 01:02:40.000000000,80.83762405,45.61151803,185.7301281,5.2062372118044756e-05,2.256308112588669e-06,4.4372419554912625e-06,-5.1823841502606294e-05
Jan 01 2015 01:02:41.000000000,80.76816737,45.75683861,186.1410609,5.2055680111250245e-05,2.267714478451082e-06,4.453186117899007e-06,-5.181525293085414e-05
Jan 01 2015 01:02:42.000000000,80.6986583,45.89992678,186.5535313,5.204896274210158e-05,2.2789975419077453e-06,4.469233164261684e-06,-5.18066274491606e-05
Jan 01 2015 01:02:43.000000000,80.62909825,46.04083069,186.96753859999998,5.204221954564908e-05,2.290159285835664e-06,4.4853825185615165e-06,-5.179796452897761e-05
Jan 01 2015 01:02:44.000000000,80.55948859,46.17959716,187.3830819,5.203545006107964e-05,2.301201633722334e-06,4.5016336092825055e-06,-5.178926364554573e-05
Jan 01 2015 01:02:45.000000000,80.48983063,46.31627173,187.8001604,5.202865382463803e-05,2.3121264536894484e-06,4.517985876466646e-06,-5.17805242700981e-05
Jan 01 2015 01:02:46.000000000,80.42012568,46.4508987,188.2187733,5.202183037424266e-05,2.3229355537706606e-06,4.534438751046852e-06,-5.177174587661217e-05
Jan 01 2015 01:02:47.000000000,80.35037499,46.58352121,188.6389197,5.201497925064969e-05,2.333630692406769e-06,4.550991674730719e-06,-5.176292794088745e-05
Jan 01 2015 01:02:48.000000000,80.28057977,46.714181200000006,189.06059869999999,5.200809999316589e-05,2.3442135756485623e-06,4.5676440979057275e-06,-5.175406993663158e-05
Jan 01 2015 01:02:49.000000000,80.21074122,46.84291952,189.4838096,5.200119213930884e-05,2.3546858570443154e-06,4.584395464777893e-06,-5.1745171336526415e-05
Jan 01 2015 01:02:50.000000000,80.14086048,46.96977592,189.9085515,5.199425522968716e-05,2.3650491450959664e-06,4.601245235077741e-06,-5.173623161496985e-05
Jan 01 2015 01:02:51.000000000,80.07093869,47.09478912,190.3348235,5.1987288807463075e-05,2.375304998491277e-06,4.618192860559051e-06,-5.172725024991565e-05
Jan 01 2015 01:02:52.000000000,80.00097693,47.2179968,190.7626247,5.198029241427808e-05,2.385454933614398e-06,4.635237809566605e-06,-5.171822671633584e-05
