Epoch(UTCG),Lat_GEOD(deg),Lon_GEOD(deg),Height_WGS84 (km),ne_iri16_cm-3,Te_iri16_K,Ti_iri16_K,O+_iri16_cm-3,O2+_iri16_cm-3,NO+_iri16_cm-3
Jan 01 2015 00:56:14.000000000,69.75661038,254.1762137,147.2266644,1200.898944,705.745361328125,680.2587890625,1.946245625,38.794432,1160.131712
Jan 01 2015 00:56:15.000000000,69.83014724,254.20444709999998,147.0108645,1184.682368,702.9721069335938,678.6444702148438,1.86598425,37.690872,1145.10016
Jan 01 2015 00:56:16.000000000,69.90368244,254.2329096,146.7966946,1168.799744,700.2195434570312,677.032958984375,1.78945325,36.624856,1130.36096
Jan 01 2015 00:56:17.000000000,69.97721588,254.261604,146.584155,1153.249152,697.4873657226562,675.4244384765625,1.71648425,35.595396,1115.913856
Jan 01 2015 00:56:18.000000000,70.05074746,254.29053259999998,146.3732461,1138.032256,694.7756958007812,673.8189697265625,1.64692475,34.6017,1101.761152
Jan 01 2015 00:56:19.000000000,70.12427708,254.31969819999998,146.16396830000002,1123.14368,692.0846557617188,672.2167358398438,1.580608625,33.642548,1087.898624
Jan 01 2015 00:56:20.000000000,70.19780462,254.34910319999997,145.956322,1108.583552,689.4140625,670.617919921875,1.5173935,32.717156,1074.327936
Jan 01 2015 00:56:21.000000000,70.27132999,254.3787505,145.75030759999999,1094.34944,686.7638549804688,669.0224609375,1.457132375,31.824478,1061.047552
Jan 01 2015 00:56:22.000000000,70.34485307,254.40864269999997,145.5459253,1080.43904,684.1344604492188,667.430908203125,1.399694,30.963602,1048.056192
Jan 01 2015 00:56:23.000000000,70.41837377,254.43878250000003,145.3431757,1066.848,681.5255737304688,665.843017578125,1.3449385,30.133484,1035.35072
Jan 01 2015 00:56:24.000000000,70.49189196,254.46917280000002,145.1420591,1053.574528,678.9376220703125,664.2593994140625,1.292745875,29.333248,1022.930368
Jan 01 2015 00:56:25.000000000,70.56540755,254.49981630000002,144.9425757,1040.61312,676.3702392578125,662.6798095703125,1.2429865,28.561842,1010.790656
Jan 01 2015 00:56:26.000000000,70.63892041,254.5307159,144.74472609999998,1027.962752,673.8231811523438,661.1044921875,1.195552125,27.81849,998.93184
Jan 01 2015 00:56:27.000000000,70.71243044,254.56187450000002,144.5485105,1015.620096,671.2971801757812,659.53369140625,1.15033375,27.102298,987.351168
Jan 01 2015 00:56:28.000000000,70.78593752,254.5932952,144.35392919999998,1003.577664,668.7915649414062,657.967529296875,1.10721575,26.412198,976.04256
Jan 01 2015 00:56:29.000000000,70.85944153,254.62498080000003,144.16098269999998,991.837184,666.3069458007812,656.4061889648438,1.066110375,25.747604,965.00832
Jan 01 2015 00:56:30.000000000,70.93294237,254.65693450000003,143.96967130000002,980.390464,663.8428955078125,654.849853515625,1.0269119375,25.107458,954.241408
Jan 01 2015 00:56:31.000000000,71.00643991,254.68915930000003,143.77999540000002,969.234496,661.3998413085938,653.2987060546875,0.9895316875,24.491004,943.73984
Jan 01 2015 00:56:32.000000000,71.07993404,254.72165840000002,143.5919552,958.3632,658.9772338867188,651.752685546875,0.9538768125,23.897334,933.498368
Jan 01 2015 00:56:33.000000000,71.15342463,254.7544349,143.4055511,947.772672,656.5753173828125,650.2122802734375,0.91986675,23.325684,923.51392
Jan 01 2015 00:56:34.000000000,71.22691156,254.7874921,143.22078340000002,937.460928,654.1945190429688,648.677490234375,0.8874248125,22.775406,913.785344
Jan 01 2015 00:56:35.000000000,71.30039472,254.8208333,143.03765249999998,927.42144,651.8341674804688,647.1484985351562,0.85647275,22.245668,904.30688
Jan 01 2015 00:56:36.000000000,71.37387397,254.85446180000002,142.85615869999998,917.649152,649.4949340820312,645.6253662109375,0.8269340625,21.735688,895.07456
Jan 01 2015 00:56:37.000000000,71.44734919,254.88838109999998,142.6763023,908.139392,647.17626953125,644.1083984375,0.7987439375,21.244788,886.084224
Jan 01 2015 00:56:38.000000000,71.52082025,254.92259449999997,142.4980836,898.889344,644.8783569335938,642.5977172851562,0.7718375,20.772358,877.333824
Jan 01 2015 00:56:39.000000000,71.59428703,254.9571055,142.321503,889.891264,642.6015014648438,641.0936279296875,0.746149625,20.3176,868.816576
Jan 01 2015 00:56:40.000000000,71.6677494,254.99191769999996,142.1465608,881.141632,640.3453979492188,639.5960693359375,0.72162025,19.879906,860.529408
Jan 01 2015 00:56:41.000000000,71.74120722,255.02703480000002,141.9732572,872.637312,638.1099243164062,638.105224609375,0.698197,19.458762,852.470016
Jan 01 2015 00:56:42.000000000,71.81466036,255.0624603,141.8015926,864.372864,636.6214599609375,636.6214599609375,0.6751788125,19.035508,844.652352
Jan 01 2015 00:56:43.000000000,71.88810869,255.098198,141.63156730000003,856.34048,635.144775390625,635.144775390625,0.6532006875,18.628284,837.049408
Jan 01 2015 00:56:44.000000000,71.96155207,255.1342517,141.4631815,848.538176,633.6754150390625,633.6754150390625,0.6322210625,18.23671,829.65984
Jan 01 2015 00:56:45.000000000,72.03499036,255.1706252,141.2964357,840.960192,632.2135009765625,632.2135009765625,0.612186875,17.860138,822.478592
Jan 01 2015 00:56:46.000000000,72.10842342,255.2073225,141.13133,833.603712,630.75927734375,630.75927734375,0.5930561875,17.498074,815.50368
Jan 01 2015 00:56:47.000000000,72.18185112,255.2443475,140.9678648,826.460864,629.3128662109375,629.3128662109375,0.57477825,17.149818,808.727808
Jan 01 2015 00:56:48.000000000,72.25527331,255.28170419999998,140.8060403,819.528768,627.8743896484375,627.8743896484375,0.5573146875,16.814926,802.148096
Jan 01 2015 00:56:49.000000000,72.32868984,255.31939669999997,140.6458569,812.8032,626.4441528320312,626.4441528320312,0.5406253125,16.492878,795.7616
Jan 01 2015 00:56:50.000000000,72.40210056,255.3574293,140.4873148,806.278144,625.0220947265625,625.0220947265625,0.5246705625,16.183138,789.562496
Jan 01 2015 00:56:51.000000000,72.47550534,255.3958061,140.33041430000003,799.95104,623.6085815429688,623.6085815429688,0.5094166875,15.885296,783.548736
Jan 01 2015 00:56:52.000000000,72.54890402,255.43453140000003,140.17515559999998,793.815488,622.2037963867188,622.2037963867188,0.494828,15.598821,777.714432
Jan 01 2015 00:56:53.000000000,72.62229644,255.4736097,140.02153909999998,787.867072,620.807861328125,620.807861328125,0.480871375,15.323272,772.05568
Jan 01 2015 00:56:54.000000000,72.69568245,255.51304530000002,139.8695649,782.102592,619.4208374023438,619.4208374023438,0.46751809375,15.058275,766.569792
Jan 01 2015 00:56:55.000000000,72.76906191,255.55284280000004,139.7192335,776.516224,618.0430297851562,618.0430297851562,0.4547370625,14.803356,761.251136
Jan 01 2015 00:56:56.000000000,72.84243464,255.59300679999998,139.57054490000002,771.103616,616.6744384765625,616.6744384765625,0.4425008125,14.558131,756.096256
Jan 01 2015 00:56:57.000000000,72.91580048,255.633542,139.42349950000002,765.862976,615.3154907226562,615.3154907226562,0.43078615625,14.322313,751.103232
Jan 01 2015 00:56:58.000000000,72.98915929,255.6744531,139.2780976,760.788096,613.9661865234375,613.9661865234375,0.4195656875,14.095467,746.266624
Jan 01 2015 00:56:59.000000000,73.06251088,255.71574500000003,139.13433940000002,755.875712,612.6268920898438,612.6268920898438,0.40881740625,13.877269,741.58336
Jan 01 2015 00:57:00.000000000,73.1358551,255.75742250000002,138.99222509999998,748.131072,611.2236328125,611.2236328125,0.3955149375,13.561276,734.168192
Jan 01 2015 00:57:01.000000000,73.20919177,255.79949069999998,138.8517549,743.592896,609.9052124023438,609.9052124023438,0.3857625625,13.36247,729.83872
Jan 01 2015 00:57:02.000000000,73.28252072,255.84195469999997,138.7129292,739.203456,608.5969848632812,608.5969848632812,0.37641234375,13.171224,725.649984
Jan 01 2015 00:57:03.000000000,73.35584178,255.88481969999998,138.5757481,734.957824,607.2991943359375,607.2991943359375,0.367444,12.987211,721.59744
Jan 01 2015 00:57:04.000000000,73.42915478,255.9280909,138.440212,730.854656,606.0120849609375,606.0120849609375,0.35884353125,12.810245,717.68
Jan 01 2015 00:57:05.000000000,73.50245953,255.9717736,138.3063209,726.888512,604.7359619140625,604.7359619140625,0.35059103125,12.63998,713.89248
Jan 01 2015 00:57:06.000000000,73.57575585,256.01587340000003,138.17407519999998,723.055104,603.470703125,603.470703125,0.3426705625,12.476156,710.230976
Jan 01 2015 00:57:07.000000000,73.64904355,256.0603957,138.043475,719.35168,602.216796875,602.216796875,0.33506796875,12.318542,706.692928
Jan 01 2015 00:57:08.000000000,73.72232246,256.1053462,137.9145207,715.774592,600.9742431640625,600.9742431640625,0.32776790625,12.166896,703.274944
Jan 01 2015 00:57:09.000000000,73.79559238,256.1507307,137.78721230000002,712.31904,599.7431640625,599.7431640625,0.32075603125,12.020957,699.972352
Jan 01 2015 00:57:10.000000000,73.86885313,256.196555,137.6615502,708.98432,598.523681640625,598.523681640625,0.31402153125,11.880581,696.784704
Jan 01 2015 00:57:11.000000000,73.94210449,256.242825,137.5375345,705.764096,597.316162109375,597.316162109375,0.30754990625,11.745473,693.70624
Jan 01 2015 00:57:12.000000000,74.01534628,256.2895469,137.4151654,702.65728,596.1207275390625,596.1207275390625,0.30133075,11.615487,690.735744
